Date,Product,Predicted_Price_EGP
2026-04-01,apricot jam,118.89
2026-05-01,apricot jam,120.31
2026-06-01,apricot jam,121.76
2026-07-01,apricot jam,123.22
2026-08-01,apricot jam,124.7
2026-09-01,apricot jam,126.19
2026-10-01,apricot jam,127.71
2026-11-01,apricot jam,129.24
2026-12-01,apricot jam,131.42
2027-01-01,apricot jam,138.19
2027-02-01,apricot jam,143.03
2027-03-01,apricot jam,143.37
2027-04-01,apricot jam,150.1
2027-05-01,apricot jam,161.87
2027-06-01,apricot jam,169.31
2027-07-01,apricot jam,185.91
2027-08-01,apricot jam,207.72
2027-09-01,apricot jam,233.22
2027-10-01,apricot jam,268.2
2027-11-01,apricot jam,313.82
2027-12-01,apricot jam,322.04
2028-01-01,apricot jam,308.97
2028-02-01,apricot jam,307.11
2028-03-01,apricot jam,309.26
2028-04-01,apricot jam,317.01
2028-05-01,apricot jam,324.13
2028-06-01,apricot jam,342.83
2028-07-01,apricot jam,347.15
2028-08-01,apricot jam,350.86
2028-09-01,apricot jam,355.22
2028-10-01,apricot jam,361.38
2028-11-01,apricot jam,366.63
2028-12-01,apricot jam,371.6
2026-04-01,black pepper grain,458.11
2026-05-01,black pepper grain,463.61
2026-06-01,black pepper grain,469.17
2026-07-01,black pepper grain,474.8
2026-08-01,black pepper grain,480.5
2026-09-01,black pepper grain,486.27
2026-10-01,black pepper grain,492.1
2026-11-01,black pepper grain,498.01
2026-12-01,black pepper grain,503.98
2027-01-01,black pepper grain,510.03
2027-02-01,black pepper grain,516.15
2027-03-01,black pepper grain,522.35
2027-04-01,black pepper grain,528.61
2027-05-01,black pepper grain,534.96
2027-06-01,black pepper grain,541.38
2027-07-01,black pepper grain,547.87
2027-08-01,black pepper grain,554.45
2027-09-01,black pepper grain,561.1
2027-10-01,black pepper grain,567.83
2027-11-01,black pepper grain,574.65
2027-12-01,black pepper grain,581.54
2028-01-01,black pepper grain,588.52
2028-02-01,black pepper grain,595.59
2028-03-01,black pepper grain,602.73
2028-04-01,black pepper grain,609.97
2028-05-01,black pepper grain,617.28
2028-06-01,black pepper grain,624.69
