Date,Commodity,Price,Unit,File_Source
2018-05,Bufalo Buter,96,850 gram,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Cantaloupe,5.37,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Catefish,20,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Citrus,13.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Crushed Beans,12.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Crushed Lentil,20.65,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Domestic Chicken,43,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Domestic Duck,49,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Dry Beans,28.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Dry Black Beans,17.75,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Farm Chese,27,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Farm Chicken,35,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Fresh Milk,13.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Frozen Macaroni fish,30,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Frozen Macril fish,41,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Garlic,13,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Gren Beans,5.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Gren Paper,6.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
2018-05,Lentil,25.5,k.g,гКжУШ ГУЪЗС ЗбгУКебЯ бГег ЗбУбЪ ЗбЫРЗЖнЙ _ 5 - 2018.pdf
