Date,Product,Price,unit,Source_File
2021-01-01,Apricot Jam,11.78,340جم/ gram,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Black Pepper Grain,88.86,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Broad Beans,31.26,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Buffalo Butter,101.41,850جم/ gram,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Catefish,18.54,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Citrus,15.9492753623188,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Commodity,يناير,الوحدة/ Unit,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Corindar,24.12,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Corn Oil,29.1267531012781,لتر/ Liter,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Cotton Seed Oil,20.92,لتر/ Liter,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Crushed Beans,21.74,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Crushed Lentil,18.68,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Cumin,81.34,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Domestic Chicken,39.19,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Domestic Duck,49.2694994769122,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Domestic frozen slaughtered white chicken,45.84,بالواحدة/ single,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Dry Beans,29.49,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Eggplant,5.29,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Farm Cheese,27.73,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Farm Chicken,28.1609030924725,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Fresh Milk,14.71,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Frozen Macaroni fish,26.16,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Frozen Macrill fish,43.53,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Garlic,32.83,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Green Beans,8.42,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Green Papper,5.98,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Guava,9.21,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Imported frozen buffalo meat,77.84,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Lentil,24.92,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Mandarin,5.83,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Medium size Cabbag,8.31,بالواحدةsingle,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Medium size Cucumber,7.48,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Medium size Pidgeon,58.62,بالزوج/ by pair,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Medium size farm Egg,1.59,بالواحدة/ single,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Middle age buffalo & cattle (net meat),133.51,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Mullet Fish,65.62,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Navel Oranges,6.04,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Nesto Cheese,9.76,8قطع/ pieces,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Normal Wheat,7.11,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Old Roumi Cheese,106.99,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Onion,6.04,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Pack of Tea,4.39,40جم/ gram,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Packed Honey,20.83,250جم/ gram,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Packed Sugar,13.94,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Packed White Rice,16.81,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Potato,7.22,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Sheep meat with bones,139.98,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Small size Banana,11.33,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
2021-01-01,Small size Squash,6.17,كجم/ k.g,Average Consumer Prices for Key Food Items _ 1 - 2021.xlsx
